Latitude,Longitude,Zone,Amenity
45.4982699,9.1673143,zone9,fuel
45.5259142,9.1934391,zone9,fuel
45.5047559,9.1690815,zone9,fuel
45.4979568,9.1918297,zone9,fuel
45.4973264,9.1798725,zone9,fuel
45.5264202,9.1745752,zone9,fuel
45.5226966,9.1747024,zone9,fuel
45.522811,9.159218,zone9,fuel
45.5038106,9.1641243,zone9,fuel
45.4966814,9.1914255,zone9,fuel
45.5198423,9.1703534,zone9,fuel
45.4970635,9.1837715,zone9,fuel
45.4964671,9.1730924,zone9,fuel
45.4967175,9.1695992,zone9,fuel
45.5030589,9.1643759,zone9,fuel
45.5211056,9.1924489,zone9,fuel
45.5242764,9.1656991,zone9,fuel
45.4978085,9.167013,zone9,fuel
45.504254,9.180761,zone9,fuel
45.5154451,9.1724238,zone9,fuel
45.5304358,9.1639989,zone9,fuel
45.5308907,9.1628086,zone9,fuel
45.5219373,9.2161433,zone9,cinema
45.5022624,9.1928491,zone9,pharmacy
45.4890824,9.1888085,zone9,pharmacy
45.5152399,9.1930974,zone9,library
45.5063941,9.198001,zone9,pharmacy
45.5162182,9.1944327,zone9,post_office
45.5197377,9.1991259,zone9,parking
45.5067954,9.2004583,zone9,bank
45.4974575,9.1645176,zone9,parking
45.5152587,9.1940764,zone9,pharmacy
45.4874588,9.1869698,zone9,pharmacy
45.5001613,9.1787591,zone9,post_office
45.5012516,9.1627761,zone9,bank
45.5019609,9.1647025,zone9,pharmacy
45.4998068,9.1673344,zone9,hospital
45.5025232,9.176678,zone9,telephone
45.5027195,9.1765326,zone9,post_box
45.5023385,9.1761108,zone9,pharmacy
45.5019769,9.1756372,zone9,drinking_water
45.5032088,9.1624836,zone9,pharmacy
45.5030313,9.1611492,zone9,telephone
45.4949556,9.1849812,zone9,fast_food
45.5060472,9.1947376,zone9,parking
45.4892417,9.1888269,zone9,pub
45.5141993,9.208342,zone9,pub
45.5144784,9.2077107,zone9,pharmacy
45.4891294,9.1906768,zone9,toilets
45.4891677,9.1909798,zone9,drinking_water
45.4899942,9.189347,zone9,telephone
45.5257421,9.2081435,zone9,pharmacy
45.5267462,9.2088078,zone9,telephone
45.5184828,9.20708,zone9,post_box
45.5186799,9.2072964,zone9,telephone
45.511153,9.202929,zone9,telephone
45.5010358,9.1958058,zone9,telephone
45.5027644,9.1891262,zone9,parking
45.5120915,9.2044026,zone9,pharmacy
45.5023842,9.1527412,zone9,bicycle_rental
45.4889444,9.1881683,zone9,place_of_worship
45.5161175,9.2029905,zone9,pharmacy
45.5172346,9.1917957,zone9,restaurant
45.4899689,9.1889659,zone9,restaurant
45.4887512,9.187111,zone9,pub
45.4900947,9.1832224,zone9,pharmacy
45.4888473,9.1830352,zone9,restaurant
45.5026316,9.1652048,zone9,bank
45.5282357,9.2101398,zone9,drinking_water
45.5225744,9.2066697,zone9,pharmacy
45.5175274,9.1916647,zone9,bank
45.5239109,9.1925821,zone9,restaurant
45.5072649,9.1982093,zone9,telephone
45.4890027,9.191109,zone9,taxi
45.5264675,9.203168,zone9,toilets
45.5264774,9.203226,zone9,drinking_water
45.5266259,9.2090037,zone9,telephone
45.5146215,9.2111879,zone9,pub
45.5153719,9.1724922,zone9,restaurant
45.4976886,9.1857067,zone9,drinking_water
45.4985205,9.1888725,zone9,drinking_water
45.4871967,9.1842026,zone9,restaurant
45.494443,9.1851065,zone9,bank
45.5072704,9.1984568,zone9,post_office
45.4827112,9.1850579,zone9,cafe
45.4938763,9.1848747,zone9,cafe
45.4976397,9.1859697,zone9,telephone
45.498364,9.1845521,zone9,telephone
45.5152366,9.1933136,zone9,police
45.5166084,9.1673769,zone9,library
45.5023359,9.1658458,zone9,telephone
45.5075977,9.2043976,zone9,cafe
45.5178353,9.2097177,zone9,post_box
45.4916738,9.1887287,zone9,bar
45.5214975,9.1996404,zone9,toilets
45.521571,9.2000077,zone9,drinking_water
45.5290718,9.203058,zone9,drinking_water
45.5235523,9.2118257,zone9,bar
45.52316,9.2113541,zone9,atm
45.4863171,9.1866888,zone9,restaurant
45.4840401,9.1958908,zone9,bicycle_rental
45.5183846,9.1543166,zone9,fuel
45.5164034,9.1530715,zone9,toilets
45.5150861,9.1611001,zone9,school
45.5199162,9.1695049,zone9,bank
45.5228398,9.1664211,zone9,school
45.5228777,9.1667016,zone9,kindergarten
45.5293431,9.1728086,zone9,restaurant
45.5181954,9.208364,zone9,pharmacy
45.5234499,9.1926098,zone9,restaurant
45.5036159,9.1687586,zone9,recycling
45.4829442,9.1944526,zone9,parking_entrance
45.4830309,9.1946721,zone9,parking_entrance
45.4832833,9.1941409,zone9,parking
45.4832989,9.1940015,zone9,parking_entrance
45.4833272,9.1942048,zone9,parking_entrance
45.4838858,9.1954039,zone9,parking_entrance
45.4855692,9.1976112,zone9,restaurant
45.5022951,9.1653333,zone9,fountain
45.4966819,9.1794983,zone9,drinking_water
45.4960489,9.1711639,zone9,post_office
45.5170333,9.1915688,zone9,parking_entrance
45.4956972,9.1856491,zone9,parking_entrance
45.4947988,9.185149,zone9,parking_entrance
45.4957119,9.1855423,zone9,parking_entrance
45.5160379,9.2130238,zone9,parking_entrance
45.516178,9.2123663,zone9,parking_entrance
45.5151171,9.2130089,zone9,bar
45.5155043,9.2115605,zone9,bar
45.5147742,9.2125231,zone9,parking
45.5150419,9.2115713,zone9,parking
45.5200671,9.1698719,zone9,bank
45.5205483,9.1695286,zone9,bank
45.5193207,9.169975,zone9,restaurant
45.5198392,9.1695343,zone9,cafe
45.5201239,9.1706593,zone9,cafe
45.5207014,9.1709253,zone9,cafe
45.5194489,9.1701416,zone9,cafe
45.5210579,9.1691899,zone9,restaurant
45.5212269,9.1676253,zone9,vending_machine
45.5214278,9.1679937,zone9,bicycle_parking
45.5121684,9.1704534,zone9,restaurant
45.5157405,9.1722095,zone9,pharmacy
45.5171472,9.1708761,zone9,pharmacy
45.5194162,9.1699372,zone9,telephone
45.5141507,9.1688131,zone9,post_office
45.5166377,9.1716984,zone9,taxi
45.5169229,9.2122352,zone9,motorcycle_parking
45.514068,9.2106586,zone9,bicycle_parking
45.5120183,9.2094605,zone9,bicycle_parking
45.5134919,9.210292,zone9,motorcycle_parking
45.513037,9.2100398,zone9,motorcycle_parking
45.5055872,9.1997384,zone9,drinking_water
45.4960782,9.1855974,zone9,bank
45.5015203,9.1573701,zone9,bicycle_parking
45.5093058,9.2027363,zone9,restaurant
45.5086639,9.2004984,zone9,restaurant
45.5067569,9.2014068,zone9,restaurant
45.501904,9.1543064,zone9,bicycle_parking
45.5035246,9.1576384,zone9,bicycle_parking
45.500962,9.155016,zone9,bicycle_parking
